番剧名,图片链接,播放量,弹幕量,投稿时间
【1月】迷你刀使 06【自制中字/1080P】,http://i0.hdslb.com/bfs/archive/d1437032107c602921f8da94ae2d3c64a0f04b2a.jpg,3404,46,2019-02-17 12:35:03
【1月】迷你刀使 06【生肉】,http://i0.hdslb.com/bfs/archive/529cb44022822b3900df9fce8c263535a16e8ffa.png,1041,0,2019-02-17 12:34:53
【ViuTV粤语】三年E班 第二季 18,http://i2.hdslb.com/bfs/archive/4f70c6641fc801b6b0efb094e3bebe2556bf88a7.jpg,1613,7,2019-02-17 12:34:40
【7月】索斯机械兽 ZOIDS WILD 31 争夺！大遗迹的秘宝,http://i1.hdslb.com/bfs/archive/af2b6392995f6e9f9eb25ddd79858292045765a1.jpg,1817,0,2019-02-17 12:30:32
【7月】索斯机械兽 ZOIDS WILD 30 心中的痛楚 过去与毒针,http://i1.hdslb.com/bfs/archive/f5f603e3b97482f035d774de824f90b3cbd44db4.jpg,1008,0,2019-02-17 12:30:29
【7月】索斯机械兽 ZOIDS WILD 29 惊愕！第二形态,http://i0.hdslb.com/bfs/archive/75c3070918a06e0cf5bd25c00e5ab270b243b587.jpg,1265,0,2019-02-17 12:30:23
【7月】索斯机械兽 ZOIDS WILD 28 孤高的少年 在大地疾驰！,http://i0.hdslb.com/bfs/archive/facca9a210906e886d79622b03643fc883c0f790.jpg,857,0,2019-02-17 12:30:18
【WEB】最终幻想15：亚丹章-序章,http://i1.hdslb.com/bfs/archive/7dd564369ffa6d3d40ef8619f7501406669a93c6.jpg,11626,196,2019-02-15 20:11:30
【10月】	美妙☆频道 45,http://i1.hdslb.com/bfs/archive/3146f5bc1eb5f4712f37ff00ae8a067c319447fc.jpg,3691,40,2019-02-16 17:07:02
【10月】	爱玩怪兽 19,http://i1.hdslb.com/bfs/archive/e3cf248f6915d301f2d1dbeca92c20dbb1524dec.jpg,5561,68,2019-02-16 17:11:20
【1月】W'Z 07【独家正版】,http://i1.hdslb.com/bfs/archive/38dad0fc8bdce68334a2612715141ce4b9a95a80.jpg,52558,1163,2019-02-17 01:30:00
【10月】刀剑神域 Alicization 18.5,http://i2.hdslb.com/bfs/archive/10a48029fd8457853442bcbc9725c1f72ba7e4a6.jpg,1048121,18944,2019-02-17 00:30:00
【1月】辉夜大小姐想让我告白~天才们的恋爱头脑战~ 06【独家正版】,http://i0.hdslb.com/bfs/archive/dd868407aa16cd95024508ea658f7618f9e020f0.jpg,2033818,80353,2019-02-17 00:00:00
【剧场版】剧场版 王室教师海涅,http://i1.hdslb.com/bfs/archive/5618d56d84bc1f5ec31e149591583c18d96a2b99.jpg,82031,2216,2019-02-16 21:13:08
【1月】不愉快的怪物庵 续 07,http://i2.hdslb.com/bfs/archive/e3d52c5c57bbd400d5d520bb01f05242c7f548e0.jpg,137136,1714,2019-02-16 22:00:00
【1月】魔法少女特殊战明日香 04【英配生肉】,http://i1.hdslb.com/bfs/archive/711917f8f42b004097e78cf854a95802eb80a99d.png,2436,1,2019-02-16 20:53:50
【TVB粤语繁中】新干线战士  25集,http://i2.hdslb.com/bfs/archive/f833e11be4e4a10a1245005dfd05e23ca346b965.jpg,681,0,2019-02-16 20:51:03
【1月】魔法少女特殊战明日香 06【生肉】,http://i1.hdslb.com/bfs/archive/8295df0bdbbd9a0756098040e46a7f1ea6a61b00.png,2981,2,2019-02-16 20:50:55
【9月】闪亮幸福 开启吧！cocotama 22【字幕】,http://i1.hdslb.com/bfs/archive/53f37c8dce02c80c68e25c8182b4ec0f00f68d1e.jpg,573,22,2019-02-16 20:50:35
【2月】交锋联盟 机巧一族 01【外挂官中】,http://i2.hdslb.com/bfs/archive/55aabab54d3509707e03e6e8f68b2962ab1cb49e.jpg,1243,1,2019-02-16 12:13:16
【10月】逆转裁判 第二季 17,http://i0.hdslb.com/bfs/archive/fa10404f28128f754047e2aad0c372537a5f7713.jpg,43478,2036,2019-02-16 18:00:00
【10月】欢迎光临 千岁酱 18.5 特番【自制字幕】,http://i2.hdslb.com/bfs/archive/22ec04f545500e77de76c582be35e5418840dd60.jpg,1434,5,2019-02-16 12:28:30
【1月】魔法少女特殊战明日香 06话【中字】,http://i2.hdslb.com/bfs/archive/5e6dfb2000af8987f55a9b196d95e37366ec8751.jpg,14019,591,2019-02-16 12:28:19
【10月】欢迎光临，千岁酱 特番 おともだち診断【生肉】,http://i0.hdslb.com/bfs/archive/4ee478197e7c926ae86bcfd3234888170cbbf3a0.png,648,0,2019-02-16 12:27:47
【生肉】 哆啦A梦新番 551 (2019.02.15),http://i2.hdslb.com/bfs/archive/fa903f48b49417b376cb86a8c9819680f8bdc627.jpg,2257,55,2019-02-16 12:13:34
【十二月/熟肉/720p】奇迹瓢虫与超级猫S03E04,http://i0.hdslb.com/bfs/archive/3b4db78332d5b77d69365d5e2768991ab1ed9132.png,14518,757,2019-02-16 12:13:23
【4月】暖暖日记 第三季 46【独家正版】,http://i1.hdslb.com/bfs/archive/34a71a85d1366a973d9f67b1c33b0ddec31c9dc4.jpg,6987,50,2019-02-15 17:59:19
